Total mappings: 1275

 119 | SFCO  |  1102206 |   0.006km | ns=1.000 | SVF Cinemas: PRM Market City Mall, Coochbehar        <-> SVF Cinemas : PRM Market City Mall, Coochbehar
 120 | CHTL  |  1033218 |   0.006km | ns=1.000 | Chitralay Cinema: Loni (Newly Renovated)             <-> Chitralay Cinema, Loni (Newly Renovated)
 121 | KDCG  |  1102071 |   0.006km | ns=1.000 | Kelvin Gold Cinema: Guwahati (Newly Opened)          <-> Kelvin Gold Cinema, Guwahati (Newly Opened)
 122 | FNCM  |      145 |   0.006km | ns=1.000 | Fun Cinemas: K Star Mall, Chembur                    <-> Fun Cinema K Star Mall, Chembur (E), Mumbai
 123 | PIIC  |  1022263 |   0.006km | ns=1.000 | PVR: Inorbit, Cyberabad                              <-> PVR Inorbit, Cyberabad, Hyderabad
 124 | KURL  |  1012094 |   0.006km | ns=1.000 | Bharat Cineplex: Kurla (W)                           <-> Bharat Cineplex, Kurla (W), Mumbai
 125 | PVER  |  1022309 |   0.006km | ns=1.000 | PVR: Vega City, Bannerghatta Road                    <-> PVR Vega City, Bannerghatta Road, Bengaluru
 126 | PGMV  |  1022271 |   0.006km | ns=1.000 | PVR: Grand Mall, Velachery                           <-> PVR Grand Mall, Velachery, Chennai
 127 | DNNV  |  1047931 |   0.006km | ns=1.000 | Deep Cinemas: Nizampura, Chhani Road                 <-> Deep Cinemas, Nizampura, Chhani Road
 128 | MBCR  |  1001091 |   0.006km | ns=1.000 | Miraj Cinemas: Blue City Mall, Jodhpur               <-> Miraj Cinemas : Blue City Mall, Jodhpur
 129 | CCRP  |    44956 |   0.006km | ns=1.000 | Colors Cinemas: Colors Mall, Raipur                  <-> Colors Cinemas, Colors Mall, Raipur
 130 | CSCV  |     9431 |   0.006km | ns=1.000 | Cinepolis: Sreekanya Cineglitz, Madhurawada          <-> Cinepolis Sreekanya Cineglitz, Madhurwada, Vizag
 131 | SVFT  |  1102187 |   0.006km | ns=1.000 | SVF Cinemas: G Square Mall, Tezpur                   <-> SVF Cinemas : G Square Mall, Tezpur
 132 | GDDR  |      879 |   0.006km | ns=1.000 | Gold Cinema: Dausa                                   <-> Gold Cinema, Dausa
 133 | IOCP  |  1018961 |   0.006km | ns=1.000 | INOX: Odeon, Connaught Place                         <-> INOX Odeon, Connaught Place, New Delhi
 134 | SUDA  |  1065725 |   0.006km | ns=1.000 | Sudarshan 35MM 4k Laser & Dolby Atmos: RTC X Roads   <-> Sudarshan 35MM 4K Laser & Dolby Atmos, RTC X Roads, Hyd
 135 | INPN  |  1019930 |   0.006km | ns=1.000 | INOX: Bund Garden Road                               <-> INOX Bund Garden, Bund Garden Road, Pune
 136 | MRAD  |  1099532 |   0.006km | ns=1.000 | Miraj Cinemas: Anand Mall and Movies, Narsingi       <-> Miraj Cinemas : Anand Mall and Movies ,Narsingi
 137 | INHY  |  1020776 |   0.006km | ns=1.000 | INOX GVK One, Banjara Hills: Hyderabad               <-> INOX GVK One, Banjara Hills Hyderabad
 138 | PVYH  |  1022251 |   0.006km | ns=1.000 | PVR: Central Mall, Panjagutta                        <-> PVR Panjagutta, Central Mall, Hyderabad
 139 | MSMD  |    52080 |   0.006km | ns=1.000 | Miraj Cinemas: TGS Lotus Elite, Sunkadakatte         <-> Miraj Cinemas : TGS lotus Elite, Sunkadakatte
 140 | CPNM  |      318 |   0.006km | ns=1.000 | Cinepolis: Magnet Mall, Bhandup (W)                  <-> Cinepolis Magnet Mall, Bhandup (W), Mumbai
 141 | SSTF  |  1026268 |   0.007km | ns=1.000 | Sri Satayanarayana Theatre: Kathipudi                <-> Sri Satyanarayana Theatre, Kathipudi
 142 | SDSD  |  1101225 |   0.007km | ns=1.000 | Siddeshwara 4K Dolby Atmos 3D 7.1 Cinema: JP Nagar   <-> Siddalingeshwara A/C 4K 3D Dolby Digital, JP Nagar, Ben
 143 | CBMC  |     9505 |   0.007km | ns=1.000 | Cinepolis: BSR Mall, OMR, Thoraipakkam               <-> Cinepolis BSR Mall OMR, Thoraipakkam, Chennai
 144 | SDCS  |  1095311 |   0.007km | ns=1.000 | Srinivasa Cinema 4K Dolby Atmos SG Palya:Screen1     <-> Srinivasa Cinema 4K Dolby Atmos, SG Palya, Bengaluru
 145 | VIAK  |    14267 |   0.007km | ns=1.000 | Vijaya Cine Complex A/C: Akividu                     <-> Vijaya Cine Complex, Akividu, Akividu
 146 | INBS  |  1029518 |   0.007km | ns=1.000 | INOX: ABS Mall, Jorhat                               <-> INOX ABS Mall, Jorhat
 147 | FUCG  |     2953 |   0.007km | ns=1.000 | Galleria Cinema: HUB Mall, Guwahati                  <-> Galleria Cinema Hub Mall, G. S. Road, Guwahati
 148 | IVNM  |  1022248 |   0.007km | ns=1.000 | INOX: SMR Vinay Metro Mall, Hyderabad                <-> INOX SMR Vinay Metro Mall, Hyderabad
 149 | MECB  |  1039756 |   0.007km | ns=1.000 | Movietime Cinemas: SLN Mall, Bellary                 <-> Movietime Cinemas, SLN Mall, Bellary
 150 | MCBG  |      167 |   0.007km | ns=1.000 | Miraj Cinemas: Kalpataru Mall, Balaghat              <-> Miraj Cinemas : Kalpataru Mall, Balaghat
 151 | SSRJ  |      731 |   0.007km | ns=1.000 | Sree Sai Raja Theatre: Musheerabad                   <-> Sree Sai Raja Theatre, Musheerabad, Hyderabad
 152 | MIMU  |     2719 |   0.007km | ns=1.000 | Miraj Cinemas: M4U, Sahibabad                        <-> Miraj Cinemas : M4U, Sahibabad
 153 | RCNK  |  1050995 |   0.007km | ns=1.000 | Rajhans Cinemas: Nikol                               <-> Rajhans Cinemas, Nikol, Ahmedabad
 154 | MCAN  |     7322 |   0.007km | ns=1.000 | Miraj Cinemas: Star, Ambernath (Newly Renovated)     <-> Miraj Cinemas: Star, Ambernath (Newly Renovated)
 155 | CLLP  |  1036111 |   0.007km | ns=1.000 | The Friday Cinema: Mota Varaccha, Surat              <-> The Friday Cinema, Mota Varachha, Surat
 156 | PGRA  |  1022276 |   0.007km | ns=1.000 | PVR: Grand Galada, Pallavaram                        <-> PVR Grand Galada Mall, Pallavaram, Chennai
 157 | PSMP  |  1025117 |   0.007km | ns=1.000 | PVR: Nexus Mall, Pandeshwar, Mangalore               <-> PVR Nexus Mall, Pandeshwar, Mangalore
 158 | GDCS  |  1009688 |   0.008km | ns=1.000 | Gold Cinema, Sadarghat Road: Silchar                 <-> Gold Cinema, Sadarghat Road, Silchar
